beta,seed,epoch,J,h,gradient_J,gradient_h,mass_J,mass_h,instances_J,instances_h,learning_rate,cumulative_measurements,error_relative,error_J,error_h
0.2,1,10,0.6235568184991173,0.8322304765788288,-0.26338765777397766,0.4042383769749702,7.966574635136201,6.754000493174724,138,118,0.2631578947368421,81920,0.42521509681160913,0.37644318150088274,0.4451796822807808
0.2,1,11,0.6781587125795705,0.9039496034755428,-0.312424437919026,-0.27357790770327295,7.986574137148436,6.6511408210458045,139,117,0.25,90112,0.37574864326912116,0.3218412874204295,0.3973669310163048
0.2,1,12,0.7641599042350132,0.9309458075391479,-0.7966330371919406,-0.1667113956746522,8.297008236414174,6.994469222972075,138,118,0.23809523809523808,98304,0.3416895688409001,0.23584009576498677,0.37936946164056806
0.2,1,13,0.7957740568754115,0.9130265511844813,-0.13353818075304216,0.050460625894741325,8.67212656184462,7.328435514559356,138,118,0.22727272727272727,106496,0.3447389493780931,0.20422594312458853,0.3913156325436791
0.2,1,14,0.7753122923392802,1.0008121775254029,0.1696075746195479,-0.4851033951267334,8.772261533811035,7.383037038026381,139,117,0.2173913043478261,114688,0.3036562064525548,0.22468770766071977,0.33279188164973145
0.2,1,15,0.8047676970906743,1.0860024300836126,-0.285596321959623,-0.550663463469231,8.817283630077373,7.542900967233207,137,119,0.20833333333333334,122880,0.25389861089446575,0.1952323029093257,0.27599837994425824
0.2,1,16,0.8927505120447242,1.0664058928190496,-1.1118991184342062,0.16510324597828588,9.060531106348625,7.858914508566407,137,119,0.2,131072,0.24776310177184255,0.10724948795527578,0.2890627381206336
0.2,1,17,0.8867452775006108,1.0970645952701925,0.029978130844214215,-0.10203216175740329,9.387437544359651,8.09455149942066,137,119,0.1923076923076923,139264,0.2321694159631562,0.11325472249938917,0.268623603153205
0.2,1,18,0.9605474214396249,1.0453128460243453,-0.47644153046004784,0.22272778990495617,9.4086471600759,8.15526369190455,137,119,0.18518518518518517,147456,0.25316271079503444,0.039452578560375096,0.30312476931710314
0.2,1,19,0.9507348617230552,0.9847322942588744,0.052752321036278894,0.21712069752744734,9.636090642626945,8.267956161845195,137,119,0.17857142857142858,155648,0.28712252138398753,0.04926513827694479,0.34351180382741703
0.2,1,20,0.958467420818545,1.0723259978712654,-0.04305488904368672,-0.3251478278091956,9.506519500846027,8.077356564523175,138,118,0.1724137931034483,163840,0.23834687536011476,0.04153257918145503,0.28511600141915644
0.2,1,21,1.044860372075515,1.0466110611007657,-0.5953982655588141,0.11814720629672343,9.667503689666079,8.331565955146718,137,119,0.16666666666666666,172032,0.2527230061056067,0.044860372075514965,0.3022592925994895
0.2,1,22,1.0264782795651397,1.090821987084397,0.10941021462175383,-0.17542895430304895,9.992799602120183,8.564531512641159,137,119,0.16129032258064516,180224,0.22744584852885896,0.026478279565139706,0.2727853419437354
0.2,1,23,0.9842368143924837,1.0532602907147566,0.25953156202079886,0.15385270833004708,9.980582174554229,8.615751666482637,137,119,0.15625,188416,0.2479608194067149,0.015763185607516328,0.29782647285682895
0.2,1,24,0.9784847162167416,1.1432153537550136,0.04891178882252516,-0.5099429706650026,9.746785554452286,8.370098415053146,137,119,0.15151515151515152,196608,0.198268032438169,0.0215152837832584,0.23785643082999094
0.2,1,25,0.9869824323402168,1.2329526861239046,-0.10419368415717165,-0.7335353899872469,9.857628553304586,8.587731394972646,136,120,0.14705882352941177,204800,0.14830708776694476,0.013017567659783236,0.1780315425840636
0.2,1,26,0.9572659924996644,1.256443633600901,0.19969447572851234,-0.10523944469694406,10.031164362176433,8.858415866664508,135,121,0.14285714285714285,212992,0.13716458279192684,0.042734007500335625,0.16237091093273262
0.2,1,27,0.9312909355342945,1.256443633600901,0.17953959374463627,0.0,9.94373134585678,8.820267712877294,135,121,0.1388888888888889,221184,0.1403738296377373,0.06870906446570546,0.16237091093273262
0.2,1,28,1.0160792611184384,1.225850499654912,-0.6375191275330225,0.1533521502115475,9.836009396223776,8.73205184733988,135,121,0.13513513513513511,229376,0.1523321181119892,0.01607926111843838,0.182766333563392
0.2,1,29,0.9632069424985781,1.2988540469917365,0.6525523583817809,-0.6006752144084009,10.142528084562539,8.940282260962245,136,120,0.13157894736842105,237568,0.1134269313996467,0.03679305750142192,0.13409730200550904
0.2,1,30,0.9643348187685378,1.388985772233849,-0.00929189753230557,-0.4950275591190132,10.035249334890015,8.956760322003827,135,121,0.12820512820512822,245760,0.06467947937278669,0.03566518123146223,0.074009485177434
0.2,1,31,0.9742310066332394,1.3401400837285993,-0.07600272280090786,0.250089925146879,10.184364855321654,9.210859129937884,134,122,0.125,253952,0.08981902119850253,0.02576899336676064,0.10657327751426715
0.2,1,32,0.9604031539200394,1.341918403396537,0.10885285655830979,-0.009332621617337774,10.146979324392008,9.108638698521666,134,122,0.12195121951219513,262144,0.09039690499157266,0.03959684607996061,0.10538773106897532
0.2,1,33,0.9376576050702556,1.4291401897089149,0.31067248602927067,-0.7942186657716961,10.092148637072066,9.066168629159947,134,122,0.11904761904761904,270336,0.052352905789796615,0.06234239492974436,0.047239873527390085
0.2,1,34,0.9896227585336081,1.5027922285505533,-0.4716909286572778,-0.4456960903388819,10.138972688714011,9.232946376704417,133,123,0.11627906976744186,278528,0.005960993224682957,0.010377241466391851,0.0018614857003688516
0.2,1,35,1.0187630047297873,1.4698096351231904,-0.24617679986532234,0.18575796618290746,10.477284602268119,9.620307301262155,133,123,0.11363636363636363,286720,0.019717297972825946,0.018763004729787314,0.020126909917873064
0.2,1,36,1.0961915465235328,1.4264947766867977,-0.6689826010979614,0.2494935845936219,10.54514796397379,9.627517146671527,133,123,0.1111111111111111,294912,0.0671527111014949,0.09619154652353279,0.04900348220880154
0.2,1,37,1.0722278283842437,1.3669307051389121,0.21164755860620188,0.3507132532739505,10.80410394408802,9.779889577010733,134,122,0.10869565217391305,303104,0.08398588970852537,0.07222782838424369,0.08871286324072525
